time/episodes,rollout/ep_rew_mean,train/learning_rate,rollout/exploration_rate,time/fps,time/total_timesteps,train/loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean
4,-262.09455875,0.00063,0.9930999999999998,283,368,1.1652982234954834,1,364,92.0
8,-262.68811774999995,0.00063,0.9856187499999999,294,767,1.4775224030017853,2,764,95.875
12,-221.44152258333335,0.00063,0.9791312499999998,296,1113,1.6034699082374573,3,1112,92.75
16,-233.43521624999997,0.00063,0.9719125,299,1498,1.372320368885994,5,1496,93.625
20,-240.80013744999997,0.00063,0.9641312499999999,299,1913,0.9351188093423843,6,1912,95.65
24,-245.14843325,0.00063,0.9568375000000003,300,2302,0.6550322100520134,7,2300,95.91666666666667
28,-252.52953114285714,0.00063,0.94954375,299,2691,0.8731389790773392,8,2688,96.10714285714286
32,-240.90053796875,0.00063,0.9433375000000002,297,3022,1.1854838281869888,10,3020,94.4375
36,-232.27428716666665,0.00063,0.9366624999999997,294,3378,0.9486624002456665,11,3376,93.83333333333333
40,-227.20753222499997,0.00063,0.9288625000000003,292,3794,1.7352388948202133,12,3792,94.85
44,-228.65673779545452,0.00063,0.9199187499999999,291,4271,1.7314047068357468,14,4268,97.06818181818181
48,-221.40652635416666,0.00063,0.9122874999999999,290,4678,2.3682311177253723,16,4676,97.45833333333333
52,-220.3688432307692,0.00063,0.9043937499999998,288,5099,2.2385541200637817,17,5096,98.0576923076923
56,-216.8906361607143,0.00063,0.8976249999999997,288,5460,2.0695848912000656,18,5456,97.5
60,-206.7454730166667,0.00063,0.8902562499999996,288,5853,4.13269904255867,20,5852,97.55
64,-200.25376407812502,0.00063,0.8834312499999999,288,6217,3.2575432509183884,21,6216,97.140625
68,-195.98769997058827,0.00063,0.8766999999999999,289,6576,3.1993700563907623,22,6572,96.70588235294117
72,-192.66016872222224,0.00063,0.8705125000000002,287,6906,2.195932060480118,23,6904,95.91666666666667
76,-191.75241063157895,0.00063,0.8627124999999999,287,7322,3.3846071362495422,25,7320,96.34210526315789
80,-190.94605377500002,0.00063,0.8560937499999998,288,7675,1.1528974026441574,26,7672,95.9375
84,-187.35753488095241,0.00063,0.8495125,288,8026,0.8452515602111816,27,8024,95.54761904761905
88,-186.8902924318182,0.00063,0.8428937499999999,288,8379,1.4635981321334839,29,8376,95.2159090909091
92,-184.25857846739132,0.00063,0.8357499999999998,289,8760,3.4029334485530853,30,8756,95.21739130434783
96,-181.44052561458338,0.00063,0.8293375000000003,289,9102,1.2342215478420258,31,9100,94.8125
100,-180.96471923000004,0.00063,0.8218,286,9504,3.046186923980713,33,9500,95.04
104,-176.18336026000006,0.00063,0.8156499999999997,284,9832,3.0564854592084885,34,9828,94.64
108,-171.74556043999996,0.00063,0.8090875,284,10182,3.7168653309345245,35,10180,94.15
112,-170.12830850999998,0.00063,0.8025624999999996,284,10530,5.127016365528107,37,10528,94.17
116,-163.25223533,0.00063,0.79639375,284,10859,2.9572330713272095,38,10856,93.61
120,-156.02791513,0.00063,0.7887625,283,11266,3.6233324706554413,39,11264,93.53
124,-149.28559105,0.00063,0.7823312500000004,283,11609,1.9299473464488983,40,11608,93.07
128,-143.16432567,0.00063,0.77453125,283,12025,1.5357835590839386,42,12024,93.34
132,-141.59531441,0.00063,0.7673125000000003,283,12410,1.4075017869472504,43,12408,93.88
136,-139.9593333,0.00063,0.7603562499999996,283,12781,2.961242377758026,45,12780,94.03
140,-135.89975412,0.00063,0.7530062499999998,283,13173,2.330594301223755,46,13172,93.79
144,-128.72921708,0.00063,0.7455625000000001,283,13570,1.8521051704883575,47,13568,92.99
148,-127.33163519000001,0.00063,0.739075,283,13916,2.336962401866913,49,13912,92.38
152,-122.63747756999999,0.00063,0.7324750000000001,283,14268,3.372392311692238,50,14264,91.69
156,-121.84796297000001,0.00063,0.7257250000000001,283,14628,3.2055425941944122,51,14624,91.68
160,-122.16377339,0.00063,0.71809375,283,15035,1.943205714225769,53,15032,91.82
164,-122.17591297999999,0.00063,0.71149375,283,15387,5.177278220653534,54,15384,91.7
168,-121.61758199000002,0.00063,0.7050062500000001,284,15733,3.9750167429447174,55,15732,91.57
172,-120.66573412,0.00063,0.6982374999999998,284,16094,1.3299942016601562,56,16092,91.88
176,-118.86963075000001,0.00063,0.6907000000000004,284,16496,4.281596928834915,58,16492,91.74
180,-115.54138696000001,0.00063,0.6833499999999997,284,16888,2.406380772590637,59,16884,92.13
184,-114.45764828999997,0.00063,0.6766374999999999,283,17246,2.7328320741653442,60,17244,92.2
188,-111.99093672999997,0.00063,0.67005625,284,17597,2.3077691197395325,61,17596,92.18
192,-110.48884653999998,0.00063,0.66319375,284,17963,1.966690182685852,63,17960,92.03
196,-110.04978168,0.00063,0.6568562500000001,284,18301,3.7124238908290863,64,18300,91.99
200,-106.01113152000002,0.00063,0.6497687499999996,284,18679,2.0245470106601715,65,18676,91.75
204,-103.82842255,0.00063,0.6429812500000001,284,19041,1.891171395778656,66,19040,92.09
208,-103.64446690000001,0.00063,0.6363437499999998,285,19395,3.9984385669231415,68,19392,92.13
212,-102.35104413000003,0.00063,0.6293124999999995,285,19770,3.5906091034412384,69,19768,92.4
216,-102.60937716999997,0.00063,0.6220375000000002,285,20158,2.8040504157543182,70,20156,92.99
220,-101.98182701000002,0.00063,0.61463125,285,20553,4.223695248365402,72,20552,92.87
224,-99.76789446999999,0.00063,0.6070937499999998,283,20955,2.0626115202903748,74,20952,93.46
228,-96.59373670999999,0.00063,0.5993499999999998,283,21368,4.215603768825531,75,21364,93.43
