train/entropy_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,time/time_elapsed,train/value_loss,train/clip_fraction,time/iterations,rollout/ep_rew_mean,train/loss,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/approx_kl,time/fps
-1.3833846263587475,0.2,4096,-0.002537234300689306,2,10342.068176269531,0.0,4,-226.15329358695655,5280.203125,0.006209969520568848,12,0.0003,88.6086956521739,0.0007598399,1929
-1.3770882431417704,0.2,8192,0.000510837635374628,4,10471.37963104248,0.0,8,-232.2881800740741,5648.09033203125,-0.006751537322998047,28,0.0003,100.34567901234568,0.0001270813,1909
-1.3769546039402485,0.2,12288,-0.0004936936711601447,6,8660.248207092285,0.0,12,-229.02946417000007,3992.9775390625,0.00037801265716552734,44,0.0003,96.27,4.9935945e-05,1910
-1.3772978633642197,0.2,16384,-0.00042291190766263753,8,8801.658576965332,0.0,16,-215.10933189999997,4521.25537109375,0.005368709564208984,60,0.0003,86.49,8.231704e-05,1912
-1.3734057452529669,0.2,20480,-0.0004913994125672616,10,5467.093772888184,0.0,20,-198.4178879,2639.230712890625,-0.00016951560974121094,76,0.0003,86.12,0.0001442834,1913
-1.3748078551143408,0.2,24576,-0.0007988553479663096,12,1984.3307819366455,0.0,24,-206.68975314000008,928.6827392578125,-0.0006146430969238281,92,0.0003,86.12,0.00034457288,1914
-1.3793445471674204,0.2,28672,-0.0029290179591043852,14,728.8770866394043,0.059326171875,28,-209.37801244,316.48211669921875,0.014908194541931152,108,0.0003,96.7,0.008179423,1913
-1.369635108858347,0.2,32768,-0.000583023764193058,17,5261.247615814209,0.0,32,-209.33109317999998,2716.819580078125,-0.006165623664855957,124,0.0003,98.21,5.6739897e-05,1914
-1.3695715870708227,0.2,36864,-0.0005655886670865584,19,2853.0952911376953,0.0,36,-191.56834614000002,1018.6430053710938,-0.001989126205444336,140,0.0003,87.85,0.00016679452,1915
-1.3678059820085764,0.2,40960,-0.0007667898025829345,21,6202.450283050537,0.0,40,-179.30067380000003,4310.44384765625,1.5974044799804688e-05,156,0.0003,87.87,0.0001970107,1915
-1.3674136027693748,0.2,45056,-0.002024494249781128,23,3035.5079803466797,0.0,44,-180.2705203,940.6821899414062,0.009302735328674316,172,0.0003,88.31,0.00075720734,1915
-1.3515891432762146,0.2,49152,-0.00152421354141552,25,3411.8068199157715,0.0,48,-181.35790841,2343.9677734375,-0.00024509429931640625,188,0.0003,88.89,0.0003632441,1916
-1.3610610980540514,0.2,53248,-0.0032719288574298844,27,1720.514165878296,0.0,52,-175.03193857,721.7047729492188,-0.00012409687042236328,204,0.0003,88.52,0.0015850475,1916
-1.357917232438922,0.2,57344,-0.0012949248848599382,29,1583.8803749084473,0.0,56,-156.48032309,733.7705688476562,0.0015094876289367676,220,0.0003,88.66,0.0016198207,1915
-1.3486638367176056,0.2,61440,-0.003083179602981545,32,1220.61439037323,0.0,60,-157.06339032,524.8253784179688,1.430511474609375e-06,236,0.0003,91.01,0.0019639323,1916
-1.311414185911417,0.2,65536,-0.0016799729346530512,34,2133.0789909362793,0.0,64,-143.77537323,1322.8236083984375,-0.005177140235900879,252,0.0003,92.62,0.000515881,1916
-1.3264405597001314,0.2,69632,-7.014562288532034e-05,36,748.5274477005005,0.028564453125,68,-130.66561464,467.0928955078125,-0.00018680095672607422,268,0.0003,92.41,0.0038975663,1916
-1.2819632720202208,0.2,73728,-0.0032355048970202915,38,799.3447976112366,0.003173828125,72,-135.15379643999998,469.4761657714844,7.987022399902344e-06,284,0.0003,94.38,0.0026290054,1916
-1.2672226093709469,0.2,77824,-0.0006275109699345194,40,728.3285479545593,0.0791015625,76,-121.38951780000001,226.60105895996094,-0.00010406970977783203,300,0.0003,96.89,0.009201121,1916
-1.2584574688225985,0.2,81920,-0.00019366356718819588,42,937.6193270683289,0.0,80,-105.88800392000002,383.27734375,-0.0002422332763671875,316,0.0003,110.14,0.00021599582,1915
-1.2145813293755054,0.2,86016,-0.00018782330153044313,44,546.1449837684631,0.0,84,-89.42043678000002,192.98594665527344,0.05075550079345703,332,0.0003,124.26,3.6987884e-05,1915
-1.2404638398438692,0.2,90112,-0.0002810822115861811,47,483.7885046005249,0.0,88,-84.16207694999999,245.76629638671875,0.0035620927810668945,348,0.0003,132.72,3.0955416e-05,1915
-1.1824456322938204,0.2,94208,-0.0006174572481540963,49,1202.2393608093262,0.0,92,-79.76626354999999,604.28125,-0.013612508773803711,364,0.0003,128.48,0.00027335703,1915
-1.174900682643056,0.2,98304,-0.0005715468432754278,51,1137.4823570251465,0.0,96,-83.52653528,535.4542236328125,0.0710553526878357,380,0.0003,121.14,0.00025564525,1915
